"","species","weight"
"863","nemi",140
"864","dime",43
"865","pgfv",8
"866","dime",45
"867","disp",130
"868","disp",120
"869","dime",30
"870","pmle",11
"871","pmle",12
"872","disp",112
"873","pmer",19
"874","disp",112
"875","dime",42
"876","dime",47
"877","pmer",22
"878","pmer",21
"879","dime",44
"880","onar",20
"881","dime",45
"882","pgfv",8
"883","disp",123
"884","dime",42
"885","disp",118
"886","dime",45
"887","disp",130
"888","dime",38
"889","pgfv",7
"890","pmle",21
"891","pmle",24
"892","dime",43
"893","pmer",21
"894","dime",40
"895","disp",84
"896","pmtr",18
"897","pgfv",7
"898","pmer",20
"899","pmle",10
"900","pmle",24
"901","pmer",22
"902","neal",212
"903","pmle",11
"904","pgfv",7
"905","onar",17
"906","disp",98
"907","pgfv",8
"908","neal",178
"909","dime",16
"910","disp",138
"911","pgfv",6
"912","pgfv",8
"913","disp",104
"914","dime",42
"915","dime",42
"916","dime",37
"917","disp",112
"918","dime",47
"919","dime",43
"920","dime",46
"921","pgfv",8
"922","dime",46
"923","disp",112
"924","dime",44
"925","disp",140
"926","disp",139
"927","dime",40
"928","dime",43
"929","dime",47
"930","dime",36
"931","dime",48
"932","dime",44
"933","dime",39
"934","dime",41
"935","dime",41
"936","dime",45
"937","dime",46
"938","disp",122
"939","dime",49
"940","dime",44
"941","dime",72
"942","dime",50
"943","dime",43
"944","disp",152
"945","dime",23
"946","disp",78
"947","pmer",22
"948","pmle",8
"949","dime",44
"950","pgfv",7
"951","disp",114
"952","disp",76
"953","disp",120
"954","disp",129
"955","dime",51
"956","onar",24
"957","dime",31
"958","dime",44
"959","dime",48
"960","dime",44.5
"961","dime",48
"962","disp",114
"963","disp",132
"964","pgfv",11
"965","disp",118
"966","dime",46
"967","dime",24
"968","dime",50
"969","dime",25
"970","disp",128.5
"971","dime",30
"972","disp",148
"973","dime",41
"974","dime",50
"975","disp",158
"976","dime",43
"977","dime",46
"978","nemi",180
"979","pmle",17
"980","dime",45
"981","dime",40
"982","dime",43
"983","disp",137
"984","dime",46
"985","disp",128
"986","dime",27
"987","dime",47
"988","disp",113
"989","dime",29
"990","dime",53
"991","disp",130
"992","dime",44
"993","dime",51
"994","dime",41
"995","dime",44
"996","disp",134
"997","dime",57
"998","pgfv",10
"999","pgfv",8
"1000","pmle",24
"1001","pgfv",9
"1002","dime",47
"1003","disp",127
"1004","pgfv",10
"1005","dime",50
"1006","dime",43
"1007","disp",112
"1008","dime",37
"1009","dime",23
"1010","dime",51
"1011","pgfv",13
"1012","disp",136
"1013","disp",126
"1014","dime",47
"1015","dime",31
"1016","disp",150
"1017","dime",39
"1018","dime",46
"1019","disp",159
"1020","pgfv",6
"1021","dime",49
"1022","dime",40
"1023","dime",21.5
"1024","dime",43
"1025","dime",44
"1026","disp",125
"1027","dime",47
"1028","disp",117
"1029","disp",134
"1030","dime",44
"1031","dime",53
"1032","dime",52
"1033","dime",29
"1034","disp",110
"1035","dime",48
"1036","dime",41
"1037","pmer",31
"1038","dime",29
"1039","disp",134
"1040","dime",44
"1041","dime",52
"1042","onar",29
"1043","dime",52
"1044","disp",128
"1045","disp",118
"1046","dime",40
"1047","dime",35
"1048","dime",48
"1049","disp",125
"1050","disp",119
"1051","dime",27
