"","species","weight"
"1144","pgfv",8
"1145","dime",23
"1146","dime",45
"1147","neal",176
"1148","chin",10
"1149","chin",17
"1150","chin",10
"1151","chin",13
"1152","chin",16
"1153","neal",150
"1154","pgfv",7
"1155","dime",24
"1156","dime",21
"1157","dime",25
"1158","dime",22
"1159","dime",41
"1160","neal",232
"1161","dime",54
"1162","neal",152
"1163","dime",45
"1164","dime",47
"1165","neal",212
"1166","dime",24
"1167","dime",43
"1168","chin",16
"1169","pgfv",7
"1170","dime",41
"1171","pgfv",7
"1172","pgfv",7
"1173","chin",19
"1174","dime",40
"1175","dime",42
"1176","remg",12
"1177","dime",47
"1178","pgfv",7
"1179","pgfv",7
"1180","dime",46
"1181","dime",45
"1182","dime",40
"1183","dime",48
"1184","neal",184
"1185","pgfv",7
"1186","neal",114
"1187","neal",172
"1188","chin",16
"1189","pgfv",10
"1190","dime",44
"1191","pgfv",8
"1192","chin",14
"1193","dime",45
"1194","pgfv",7
"1195","dime",48
"1196","chin",15
"1197","dime",44
"1198","pgfv",7
"1199","pgfv",7
"1200","pgfv",7
"1201","chin",17
"1202","chin",16
"1203","pgfv",7
"1204","chin",16
"1205","chin",16
"1206","pgfv",7
"1207","pmbo",21
"1208","pgfv",8
"1209","chin",16
"1210","chin",17
"1211","chin",14
"1212","pgfv",7
"1213","pgfv",7
"1214","pgfv",8
"1215","pgfv",7
"1216","pgfv",7
"1217","dime",36
"1218","eudo",48
"1219","dime",48
"1220","dime",42
"1221","chin",18
"1222","pmle",28
"1223","dime",40
"1224","dime",39
"1225","chin",12
"1226","chin",14
"1227","dime",41
"1228","dime",45
"1229","dime",47
"1230","neal",84
"1231","pmdi",25
"1232","neal",248
"1233","dime",41
"1234","dime",58
"1235","neal",160
"1236","dime",27
"1237","pmtr",22
"1238","pmle",16
"1239","dime",44
"1240","pmle",21
"1241","dime",40
"1242","dime",47
"1243","neal",135
"1244","dime",44
"1245","chin",20
"1246","pmle",23
"1247","dime",51
"1248","pgfv",8
"1249","neal",118
"1250","pgfv",9
"1251","pgfv",9
"1252","pmbo",11
"1253","chin",14
"1254","chin",13
"1255","chin",16
"1256","pmbo",21
"1257","chin",17
"1258","pmbo",20
"1259","chin",15
"1260","chin",16
"1261","pgfv",8
"1262","chin",14
"1263","pmdi",24
"1264","pgfv",6
"1265","pgfv",11
"1266","pgfv",6
"1267","pgfv",9
"1268","pgfv",6
"1269","chin",17
"1270","pmle",22
"1271","pgfv",9
"1272","dime",45
"1273","pmle",25
"1274","dime",49
"1275","pgfv",9
"1276","dime",23
"1277","dime",40
"1278","chin",13
"1279","chin",12
"1280","pgfv",7
"1281","pgfv",8
"1282","pgfv",8
"1283","dime",43
"1284","dime",39
"1285","pgfv",8
"1286","pmdi",20
"1287","dime",48
"1288","eudo",64
"1289","pgfv",8
"1290","dime",25
"1291","chin",12
"1292","dime",47
"1293","pgfv",4.8
"1294","pmtr",25
"1295","pgfv",6
"1296","neal",72
"1297","neal",69
"1298","neal",98
"1299","pmle",24
"1300","chin",15
"1301","dime",25
"1302","pmle",26
"1303","pgfv",6
"1304","dime",45
"1305","chin",13
"1306","pgfv",7
"1307","chin",11
"1308","pgfv",10
"1309","chin",14
"1310","pgfv",8
"1311","pgfv",8
"1312","pgfv",6
"1313","pgfv",9
"1314","dime",50
"1315","pmle",22
"1316","dime",34
"1317","pgfv",6
"1318","dime",44
"1319","dime",26
"1320","pmdi",17
"1321","dime",21
"1322","neal",149
"1323","neal",145
"1324","dime",44
"1325","neal",140
"1326","pgfv",6
"1327","neal",240
"1328","pmtr",27
"1329","chin",12
"1330","chin",16
"1331","chin",15
"1332","pgfv",7
"1333","neal",179
"1334","pmdi",13
"1335","dime",48
"1336","dime",40
"1337","pgfv",8
"1338","dime",44
"1339","chin",16
"1340","chin",13
"1341","neal",112
"1342","dime",46
"1343","dime",46
"1344","chin",17
"1345","pmle",27
"1346","dime",48
"1347","chin",16
"1348","dime",49
"1349","neal",141
"1350","chin",16
"1351","neal",252
"1352","neal",164
"1353","dime",43
"1354","dime",43
"1355","neal",242
"1356","chin",16
"1357","dime",48
"1358","dime",43
"1359","neal",152
"1360","chin",15
"1361","neal",39
"1362","dime",42
"1363","dime",49
"1364","dime",29
"1365","neal",160
"1366","chin",15
"1367","dime",41
"1368","neal",158
"1369","dime",45
"1370","neal",188
"1371","dime",49
"1372","neal",45
"1373","dime",45
"1374","chin",16
"1375","pmbo",20
"1376","pgfv",7
"1377","dime",44
"1378","pmle",31
"1379","chin",15
"1380","chin",15
"1381","chin",16
"1382","chin",17
"1383","neal",140
"1384","chin",17
"1385","chin",14
"1386","chin",14
"1387","chin",15
"1388","pmle",28
"1389","chin",14
"1390","chin",15
"1391","dime",42
"1392","dime",47
"1393","chin",17
"1394","chin",16
"1395","chin",14
"1396","pmbo",19
"1397","pgfv",8
"1398","dime",39
"1399","nemi",138
"1400","pgfv",7
"1401","dime",49
"1402","dime",41
"1403","dime",40
"1404","dime",43
"1405","dime",47
"1406","pgfv",6
"1407","pgfv",7
"1408","chin",12
"1409","dime",39
"1410","dime",40
"1411","chin",14
"1412","pgfv",7
"1413","pgfv",6
"1414","dime",44
"1415","dime",41
"1416","dime",39
"1417","dime",35
"1418","dime",43
"1419","dime",49
"1420","onar",20
"1421","neal",154
"1422","neal",178
