"","species","weight"
"1172","neal",196
"1173","dime",44
"1174","dime",45
"1175","dime",47
"1176","dior",53
"1177","dime",43
"1178","dior",49
"1179","dior",49
"1180","pgfl",12
"1181","dior",43
"1182","dior",55
"1183","dime",53
"1184","dime",43
"1185","dior",57
"1186","dior",48
"1187","dior",65
"1188","dior",52
"1189","pmle",23
"1190","neal",82
"1191","neal",116
"1192","dior",58
"1193","dior",58
"1194","dior",53
"1195","dior",76
"1196","dime",38
"1197","dime",51
"1198","neal",170
"1199","neal",160
"1200","dime",30
"1201","dior",50
"1202","dime",42
"1203","dior",52
"1204","neal",152
"1205","dior",43
"1206","dior",51
"1207","dime",32
"1208","dime",43
"1209","neal",102
"1210","dior",43
"1211","dime",50
"1212","dime",32
"1213","dior",44
"1214","dior",54
"1215","dior",47
"1216","dior",50
"1217","dime",39
"1218","dior",55
"1219","neal",36
"1220","neal",187
"1221","dior",57
"1222","dior",51
"1223","dior",51
"1224","dime",49
"1225","dior",57
"1226","dior",30
"1227","dime",33
"1228","dior",45
"1229","onar",25
"1230","neal",170
"1231","dior",53
"1232","dior",48
"1233","neal",100
"1234","dior",46
"1235","dior",38
"1236","dior",38
"1237","dior",40
"1238","dior",44
"1239","dior",45
"1240","dior",45
"1241","dior",60
"1242","onle",29
"1243","dior",31
"1244","dior",46
"1245","dior",37
"1246","dior",55
"1247","dior",43
"1248","dior",44
"1249","dior",51
"1250","dior",52
"1251","dior",53
"1252","onar",23
"1253","dime",44
"1254","dime",50
"1255","dior",55
"1256","dior",49
"1257","dior",56
"1258","dior",46
"1259","dior",45
"1260","dior",46
"1261","dior",39
"1262","dior",52
"1263","pmtr",25
"1264","dior",47
"1265","dior",33
"1266","neal",89
"1267","pmle",29
"1268","dior",45
"1269","dior",54
"1270","onar",23
"1271","dior",46
"1272","dime",39
"1273","neal",130
"1274","dior",25
"1275","pgfl",12
"1276","onar",32
"1277","dior",47
"1278","neal",160
"1279","dior",44
"1280","neal",195
"1281","dior",49
"1282","onle",30
"1283","dior",31
"1284","pgfl",12
"1285","dior",41
"1286","dior",34
"1287","neal",180
"1288","onle",34
"1289","pgfl",11
"1290","dior",61
"1291","dime",39
"1292","dior",41
"1293","dior",49
"1294","onle",36
"1295","dior",41
"1296","dior",35
"1297","dior",21
"1298","dior",44
"1299","dime",28
"1300","dior",45
"1301","dior",42
"1302","dior",28
"1303","dior",39
"1304","dior",47
"1305","dior",49
"1306","dior",38
"1307","dime",26
"1308","dior",45
"1309","dior",53
"1310","dime",30
"1311","dior",24
"1312","dior",45
"1313","dime",46
"1314","dior",38
"1315","dior",55
"1316","dior",44
"1317","dior",41
"1318","dior",58
"1319","dior",39
"1320","disp",124
"1321","neal",223
"1322","pgfl",15
"1323","remg",11
"1324","neal",160
"1325","dior",52
"1326","dior",42
"1327","pmle",24
"1328","dime",39
"1329","dior",64
"1330","dime",44
"1331","neal",151
"1332","dior",40
"1333","dime",41
"1334","dior",42
"1335","dior",45
"1336","dior",48
"1337","dime",40
"1338","pgfl",8
"1339","dior",48
"1340","dior",48
"1341","dior",48
"1342","dior",44
"1343","dior",36
"1344","onar",40
"1345","neal",190
"1346","dior",51
"1347","dior",58
"1348","neal",197
"1349","disp",150
"1350","disp",127
"1351","pgfv",9
"1352","pgfl",15
"1353","dime",42
"1354","pgfl",15
"1355","dime",45
"1356","onle",41
"1357","dime",42
"1358","dime",53
"1359","neal",179
"1360","pgfl",13
"1361","dior",48
"1362","pgfl",11
"1363","pgfl",13
"1364","dime",51
"1365","dior",47
"1366","dior",57
"1367","neal",96
"1368","dime",45
"1369","pgfl",13
"1370","pgfl",14
"1371","neal",156
"1372","pgfv",10
"1373","pgfl",16
"1374","dior",63
"1375","pgfl",16
"1376","pgfl",14
"1377","pgfl",13
"1378","dime",42
"1379","dime",38
"1380","pgfl",13
"1381","dime",51
"1382","dior",48
"1383","pmtr",21
"1384","dior",50
"1385","neal",161
"1386","pmle",21
"1387","dior",57
"1388","pgfl",13
"1389","dime",44
"1390","pmle",36
"1391","pgfl",12
"1392","dior",56.5
"1393","dior",59
"1394","pgfl",13
"1395","dior",62
"1396","neal",221
"1397","dime",46
"1398","dime",39
"1399","dime",50
