"","species","weight"
"586","SCOR",55
"587","PEMA",13
"588","CLCA",19
"589","NEGI",6.5
"590","SOTR",5
"591","SOTR",4
"592","SOTR",5
"593","SOTR",6
"594","SCOR",52
"595","PEMA",11
"596","SOTR",4
"597","CLCA",19
"598","PEMA",11
"599","SOTR",5
"600","SOTR",4
"601","SOTR",4
"602","SOTR",5
"603","SOTR",5
"604","SOTR",4.5
"605","MIOR",17
"606","SOTR",4
"607","PEMA",15
"608","PEMA",10
"609","PEMA",20
"610","PEMA",15
"611","PEMA",13
"612","PEMA",21
"613","PEMA",20
"614","PEMA",15
"615","PEMA",20
"616","GLSA",140
"617","PEMA",22
"618","SOTR",5
"619","SOTR",6
"620","PEMA",23
"621","PEMA",18
"622","PEMA",26
"623","SOTR",5
"624","SCOR",54
"625","PEMA",28
"626","SOTR",4
"627","SOTR",4
"628","PEMA",12
"629","GLSA",107
"630","PEMA",18
"631","CLCA",18
"632","SOTR",3
"633","SOTR",4
"634","CLCA",21
"635","PEMA",11
"636","MIOR",14
"637","PEMA",23
"638","MIOR",10
"639","SOTR",4
"640","SOTR",4
"641","MIOR",18
"642","PEMA",13
"643","PEMA",11
"644","PEMA",10.5
"645","PEMA",9
"646","PEMA",6
"647","PEMA",10.5
"648","PEMA",10
"649","PEMA",5
"650","PEMA",9
"651","MIOR",13
"652","PEMA",7
"653","PEMA",12
"654","PEMA",7
"655","CLCA",17
"656","SOTR",4
"657","SCOR",53
"658","GLSA",132
"659","SOTR",4
"660","SOTR",6
"661","GLSA",91
"662","SOTR",5
"663","SOTR",4
"664","SOTR",4
"665","SOTR",4
"666","SOTR",3
"667","SOTR",4
"668","SOTR",4
"669","SOTR",3
"670","SOTR",4
"671","GLSA",88
"672","SOTR",4
"673","SOTR",4
"674","GLSA",88
"675","SOTR",4
"676","PEMA",22
"677","SOTR",4
"678","PEMA",24
"679","SOTR",4
"680","SOTR",4
"681","MIOR",16
"682","SOTR",5
"683","PEMA",19
"684","PEMA",9
"685","MIOR",14
"686","SCOR",63
"687","PEMA",21
"688","SOTR",4.5
"689","SOTR",5
"690","SOTR",6
"691","MIOR",17.5
"692","SOTR",4
"693","PEMA",8.5
"694","MIOR",16
"695","SOTR",4
"696","PEMA",10
"697","PEMA",10
"698","SOTR",5
"699","MIOR",8
"700","PEMA",11
"701","PEMA",18
"702","SOTR",5
"703","PEMA",26
"704","SOTR",4
"705","SOTR",4
"706","PEMA",9
"707","SCOR",58
"708","ZATR",18.5
"709","ZATR",17.5
"710","SOTR",3.5
"711","SOTR",5
"712","PEMA",17
"713","MIOR",15
"714","SOTR",4
"715","MIOR",15
"716","PEMA",17
"717","PEMA",19
"718","SOTR",4
"719","SOTR",4
"720","SOTR",5
"721","PEMA",8
"722","MIOR",19
"723","PEMA",11
"724","PEMA",24
"725","MIOR",9
"726","MIOR",11
"727","ZATR",30
"728","SCOR",57
"729","MIOR",17
"730","PEMA",10
"731","MIOR",12.5
"732","SOTR",4
"733","MIOR",13
"734","MIOR",16
"735","SOTR",4
"736","PEMA",12
"737","SOTR",4
"738","PEMA",11
"739","MIOR",10
"740","PEMA",8
"741","SOTR",4.5
"742","SOTR",5
"743","PEMA",13
"744","SOTR",4
"745","SCOR",49
"746","SOTR",4
"747","SOTR",4
"748","PEMA",18
"749","PEMA",15
"750","MIOR",24
