"","species","weight"
"1199","onar",15
"1200","pgfv",7
"1201","pgfv",6
"1202","pgfv",7
"1203","pgfv",7
"1204","pgfv",7
"1205","onar",20
"1206","pgfv",7
"1207","disp",115
"1208","neal",88
"1209","pgfv",8
"1210","spsp",82
"1211","spsp",86
"1212","onar",18
"1213","pmle",27
"1214","dior",54
"1215","pgfv",7
"1216","pgfv",8
"1217","pgfv",7
"1218","disp",143
"1219","dior",52
"1220","dior",54
"1221","disp",118
"1222","pgfv",8
"1223","pgfv",8
"1224","disp",114
"1225","pgfv",7
"1226","dior",56
"1227","disp",132
"1228","dior",56
"1229","dior",60
"1230","pgfv",7
"1231","dior",52
"1232","pgfv",9
"1233","pgfv",7
"1234","pgfv",8
"1235","pgfv",8
"1236","pgfv",7
"1237","dior",52
"1238","dior",57
"1239","pgfv",7
"1240","pgfv",9
"1241","pgfv",9
"1242","disp",130
"1243","disp",122
"1244","pgfv",8
"1245","pmbo",22
"1246","dior",44
"1247","pgfv",7
"1248","pgfv",9
"1249","pgfv",7
"1250","pgfv",7
"1251","pgfv",8
"1252","pgfv",7
"1253","disp",151
"1254","pmbo",25
"1255","dior",57
"1256","disp",125
"1257","pgfv",7
"1258","disp",120
"1259","pmbo",22
"1260","onar",19
"1261","dior",55
"1262","pmbo",22
"1263","pgfv",6
"1264","dior",58
"1265","pmbo",22
"1266","pgfv",8
"1267","pgfv",9
"1268","pgfv",7
"1269","dior",62
"1270","dior",63
"1271","pmle",25
"1272","pgfv",8
"1273","dior",55
"1274","dior",50
"1275","pgfv",7
"1276","pgfv",8
"1277","pgfv",8
"1278","pgfv",9
"1279","pgfv",7
"1280","remn",8
"1281","pgfv",8
"1282","pgfv",10
"1283","dior",58
"1284","dior",56
"1285","pgfv",7
"1286","disp",124
"1287","disp",155
"1288","spsp",112
"1289","dior",53
"1290","dior",45
"1291","dior",52
"1292","nemi",194
"1293","disp",125
"1294","disp",100
"1295","pgfv",7
"1296","dior",51
"1297","dior",60
"1298","disp",160
"1299","disp",127
"1300","disp",140
"1301","dior",52
"1302","pgfv",8
"1303","pgfv",7
"1304","pgfv",7
"1305","dior",49
"1306","disp",138
"1307","pgfv",9
"1308","pgfv",5
"1309","dior",47
"1310","disp",124
"1311","dior",59
"1312","disp",131
"1313","disp",132
"1314","disp",128
"1315","dior",62
"1316","dior",55
"1317","disp",100
"1318","dior",55
"1319","dior",64
"1320","pgfv",7
"1321","dior",50
"1322","disp",125
"1323","dior",50
"1324","dior",47
"1325","pgfv",10
"1326","spsp",83.5
"1327","pgfv",8
"1328","pgfv",8
"1329","pgfv",5
"1330","pgfv",8
"1331","pgfv",6
"1332","onar",20
"1333","pgfv",9
"1334","pgfv",9
"1335","dior",55
"1336","disp",102
"1337","dior",56
"1338","spsp",112
"1339","pgfv",7
"1340","onar",15
"1341","dior",50
"1342","pgfv",7
"1343","pgfv",6
"1344","pgfv",10
"1345","pgfv",8
"1346","pgfv",7
"1347","onar",15
"1348","pgfv",8
"1349","dior",59
"1350","spsp",93
"1351","pgfv",9
"1352","pgfv",7
"1353","pgfv",8
"1354","dior",61
"1355","spsp",97
"1356","pgfv",9
"1357","pgfv",7
