"","species","weight"
"1171","dime",43
"1172","dime",27
"1173","dime",50
"1174","dime",37
"1175","dime",40
"1176","dime",42
"1177","pgfv",9
"1178","pgfv",8
"1179","dime",46
"1180","dime",50
"1181","dime",38
"1182","dime",42
"1183","dime",42
"1184","dime",39
"1185","dime",50
"1186","dime",36
"1187","dior",50
"1188","dime",40
"1189","dime",38
"1190","dime",38
"1191","dime",21
"1192","dime",39
"1193","pgfv",9
"1194","dime",40
"1195","dime",40
"1196","dime",29
"1197","dime",37
"1198","dime",50
"1199","pgfv",6
"1200","dime",46
"1201","dime",41
"1202","dime",41
"1203","dime",34
"1204","dime",41
"1205","dime",37
"1206","neal",101
"1207","pgfv",6
"1208","pgfv",7.5
"1209","dime",44
"1210","pgfv",7
"1211","dime",14
"1212","dime",49
"1213","dime",46
"1214","dime",42
"1215","dime",40
"1216","pgfv",7.5
"1217","dime",47
"1218","dime",42
"1219","dime",53
"1220","dime",40.5
"1221","dime",36
"1222","dime",40
"1223","dime",45
"1224","neal",105
"1225","onle",23
"1226","dime",38
"1227","dime",42
"1228","dime",42
"1229","dime",33
"1230","dime",33
"1231","dime",44
"1232","pmtr",30
"1233","dior",36
"1234","dime",49
"1235","pgfl",7
"1236","dime",46
"1237","dime",48
"1238","dime",46
"1239","neal",118
"1240","dime",33
"1241","dime",46
"1242","dime",53
"1243","dime",51
"1244","pgfl",9
"1245","dior",30
"1246","dime",30
"1247","dior",29
"1248","pmtr",24
"1249","pgfv",7
"1250","dime",45
"1251","pmtr",21
"1252","dior",35
"1253","dime",38
"1254","pmtr",25
"1255","remg",12
"1256","pmtr",23
"1257","disp",98
"1258","pgfv",8
"1259","dime",40
"1260","dime",46
"1261","dime",34
"1262","dime",46
"1263","dime",46
"1264","remn",8
"1265","dime",40
"1266","dior",45
"1267","dime",43
"1268","dime",44
"1269","dior",23
"1270","dior",46
"1271","dior",27
"1272","dime",49
"1273","dior",41
"1274","dime",42
"1275","dime",43
"1276","dior",35
"1277","neal",130
"1278","pgfv",8
"1279","dime",46
"1280","dime",38
"1281","dime",37
"1282","dime",37
"1283","dime",42
"1284","dime",44
"1285","dime",45
"1286","dime",50
"1287","dime",48
"1288","dime",35
"1289","dime",52
"1290","dime",48
"1291","dime",41
"1292","onle",18
"1293","dime",46
"1294","neal",54
"1295","pmtr",36
"1296","pgfv",8
"1297","remg",11
"1298","dime",45
"1299","remn",13
"1300","pgfv",8
"1301","dime",30
"1302","pmtr",24
"1303","dior",50
"1304","dime",40
"1305","dime",37
"1306","dime",34
"1307","dime",40
"1308","pmle",21
"1309","dime",41
"1310","pgfv",6
"1311","dime",44
"1312","dime",43
"1313","dime",36
"1314","pgfv",8
"1315","onar",23
"1316","dime",39
"1317","pgfl",8
"1318","dime",44
"1319","pgfv",7
"1320","dior",51
"1321","pmtr",27
"1322","dime",43
"1323","remg",13
"1324","pmle",27
"1325","remg",10
"1326","pmtr",44
"1327","dime",38
"1328","dime",23
"1329","pmle",19
"1330","dior",43
"1331","pmle",15
"1332","dime",46
"1333","pgfv",6
"1334","dime",27
"1335","remg",11
"1336","onle",20
"1337","dior",46
"1338","dime",48
"1339","dime",41
"1340","onle",32
"1341","neal",120
"1342","pgfv",8
"1343","remg",16
"1344","dime",42
"1345","dime",42
"1346","dime",45
"1347","dime",41
"1348","dime",46
"1349","dime",41
"1350","onle",37
"1351","disp",112
"1352","dime",38
"1353","pgfv",7
"1354","neal",86
"1355","dime",48
"1356","dime",42
"1357","dime",46
"1358","dime",45
"1359","dime",42
"1360","dime",45
"1361","dime",41
"1362","onle",15
