"","species","wgt"
"958","DO",52
"959","DS",122
"960","OL",30
"961","OL",34
"962","OL",29
"963","DS",128
"964","DM",41
"965","DS",101
"966","OL",44
"967","DM",40
"968","DM",37
"969","DM",44
"970","OT",25
"971","DM",46
"972","DM",38
"973","DM",39
"974","NA",223
"975","DS",116
"976","DM",42
"977","OL",29
"978","DS",111
"979","DS",120
"980","NA",169
"981","DM",45
"982","OL",28
"983","DM",40
"984","DS",119
"985","DO",44
"986","OL",32
"987","DM",44
"988","DS",126
"989","DS",124
"990","DM",38
"991","DS",136
"992","NA",181
"993","OL",28
"994","OL",33
"995","OL",32
"996","DS",118
"997","OL",27
"998","DS",132
"999","DM",42
"1000","OL",46
"1001","OL",31
"1002","DM",42
"1003","OT",30
"1004","OT",26
"1005","OL",39
"1006","PE",26
"1007","DM",43
"1008","DM",44
"1009","DS",126
"1010","DM",42
"1011","DM",44
"1012","DM",43
"1013","DM",49
"1014","DS",125
"1015","DM",50
"1016","DM",41
"1017","DM",41
"1018","OL",32
"1019","DM",37
"1020","DM",45
"1021","DM",52
"1022","DS",128
"1023","DM",42
"1024","DM",43
"1025","DM",37
"1026","DO",52
"1027","DM",50
"1028","OL",35
"1029","DM",43
"1030","DM",45
"1031","OL",39
"1032","DM",40
"1033","DS",142
"1034","DM",48
"1035","DM",48
"1036","DM",42
"1037","DM",45
"1038","DM",42
"1039","DM",47
"1040","DM",38
"1041","DM",49
"1042","DS",137
"1043","DS",153
"1044","DM",44
"1045","DM",41
"1046","DM",48
"1047","DM",37
"1048","OL",35
"1049","DM",47
"1050","DM",43
"1051","DM",48
"1052","DS",137
"1053","DM",44
"1054","OL",30
"1055","PM",26
"1056","DM",44
"1057","PM",26
"1058","DS",130
"1059","DM",46
"1060","DM",39
"1061","DS",142
"1062","DS",119
"1063","OL",32
"1064","DS",109
"1065","DM",42
"1066","OL",37
"1067","DO",61
"1068","DS",124
"1069","DM",48
"1070","OL",36
"1071","DM",44
"1072","DS",123
"1073","DM",47
"1074","DS",60
"1075","DM",43
"1076","OL",39
"1077","DM",43
"1078","DS",127
"1079","DM",40
"1080","DO",48
"1081","DS",125
"1082","DS",139
"1083","DS",132
"1084","DS",131
"1085","OL",40
"1086","DM",50
"1087","DM",47
"1088","DM",44
"1089","DM",46
"1090","DS",127
"1091","DM",45
"1092","DS",141
"1093","DS",140
"1094","DS",82
"1095","DM",54
"1096","DM",45
"1097","DM",46
"1098","DM",23
"1099","DM",49
"1100","DS",129
"1101","DS",142
"1102","DM",54
"1103","DM",53
"1104","DS",123
"1105","DM",45
"1106","DS",115
"1107","DS",112
"1108","DS",71
"1109","DM",55
"1110","DM",31
"1111","DM",46
"1112","DS",86
"1113","DM",53
"1114","DS",125
"1115","DM",37
"1116","PF",7
"1117","DS",58
"1118","DS",112
"1119","DS",132
"1120","DS",71
"1121","DS",73
"1122","PE",23
"1123","DM",46
"1124","DS",71
"1125","DO",49
"1126","DS",129
"1127","DO",50
"1128","DO",29
"1129","DS",141
"1130","DS",78
"1131","DS",127
"1132","DO",54
"1133","DM",50
"1134","PF",7
"1135","DS",144
"1136","DM",50
"1137","DS",144
"1138","DS",71
"1139","NA",166
"1140","DM",43
"1141","OT",28
"1142","DM",45
"1143","DS",92
"1144","NA",101
"1145","DS",143
"1146","DS",95
"1147","DS",130
"1148","DS",51
"1149","DS",49
"1150","DS",124
"1151","DS",46
"1152","DS",85
"1153","DS",63
"1154","DM",47
"1155","DM",46
"1156","DS",73
"1157","DS",75
"1158","DS",140
"1159","NA",86
"1160","NA",239
"1161","DM",34
"1162","PE",13
"1163","DS",97
"1164","DS",135
"1165","DS",67
"1166","DS",61
"1167","DM",65
"1168","DM",27
"1169","DS",143
"1170","DS",119
"1171","DO",51
"1172","DO",48
"1173","NA",126
"1174","DS",99
"1175","DS",71
"1176","PE",19
"1177","DS",143
"1178","DS",127
"1179","DS",76
"1180","DM",19
"1181","DS",101
"1182","DM",45
"1183","DS",140
"1184","DS",132
"1185","NA",184
"1186","DM",50
"1187","DM",53
"1188","DM",45
"1189","DS",107
"1190","DM",44
"1191","DM",53
"1192","DS",113
"1193","DM",21
"1194","DS",105
"1195","DS",135
"1196","DM",46
"1197","DS",136
"1198","DS",76
"1199","DS",114
"1200","DS",63
"1201","DS",136
"1202","DS",71
"1203","DM",47
"1204","DM",46
"1205","NA",66
"1206","DS",91
"1207","NA",72
"1208","DM",43
"1209","NA",70
"1210","DO",41
"1211","DS",112
